,Locality,Postcode,Fire_Activity_Occurrences
0,UNDERBOOL,3509,0
1,NURRAN,3888,0
2,WOORNDOO,3272,0
3,DEPTFORD,3875,0
4,YANAC,3418,0
5,MINIMAY,3413,0
6,GLEN FORBES,3990,0
7,ADAMS ESTATE,3984,0
8,CARAG CARAG,3623,0
9,CANNUM,3393,1
10,WALLUP,3401,0
11,MURRA WARRA,3401,0
12,KALKEE,3401,0
13,WAIL,3401,0
14,PIMPINIO,3401,0
15,DOOEN,3401,0
16,VECTIS,3401,0
17,QUANTONG,3401,0
18,STANHOPE,3623,0
19,TERRICK TERRICK,3575,0
20,METCALFE EAST,3444,0
21,OMEO,3898,0
22,YAPEEN,3451,0
23,LOGAN,3475,0
24,TOM GROGGIN,3707,0
25,TAMBOON,3890,0
26,WONGUNGARRA,3862,0
27,WILSONS PROMONTORY,3960,0
28,GUILDFORD,3451,0
29,WILLAURA,3379,3
30,COBBERAS,3900,0
31,MACLEOD,3085,0
32,HEIDELBERG WEST,3081,0
33,MONEGEETTA,3433,0
34,PERONNE,3413,4
35,TUTYE,3490,0
36,MOORALLA,3314,14
37,DUNKELD,3294,1
38,SUGGAN BUGGAN,3885,0
39,BAW BAW,3833,0
40,LARPENT,3249,0
41,MURROON,3243,0
42,WAHRING,3608,0
43,COOJAR,3315,0
44,SEAVIEW,3821,0
45,LABERTOUCHE,3816,0
46,DEEPDENE,3103,0
47,DROUIN WEST,3818,0
48,JINDIVICK,3818,1
49,GREENS CREEK,3381,2
50,MURRAYVILLE,3512,0
51,EDENHOPE,3318,4
52,WARRACKNABEAL,3393,2
53,DARTMOOR,3304,17
54,DANDONGADALE,3737,0
55,GELANTIPY,3885,0
56,LINGA,3509,0
57,BOINKA,3490,0
58,TENBY POINT,3984,0
59,CORONET BAY,3984,0
60,CORINELLA,3984,0
61,CROYDON SOUTH,3136,0
62,BANKSIA PENINSULA,3875,0
63,GEORGES CREEK,3700,0
64,PASCOE VALE,3044,0
65,KULWIN,3490,0
66,WALPEUP,3507,0
67,WYCHEPROOF,3527,0
68,MARENGO,3233,0
69,CAPE OTWAY,3233,0
70,WATTLE HILL,3237,0
71,GELLIBRAND LOWER,3237,0
72,PRINCETOWN,3269,0
73,PETERBOROUGH,3270,0
74,SCOTSBURN,3352,0
75,REEDY CREEK,3658,0
76,JUNGABURRA,3575,0
77,BARJARG,3723,0
