latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-37.934,141.171,304.1,1,1,2020-07-01,0435,Aqua,MODIS,52,6.0NRT,285.8,7.1,D
-37.936,141.159,310,1,1,2020-07-01,0435,Aqua,MODIS,69,6.0NRT,284.9,11,D
-37.639,142.618,306,1,1,2020-07-01,0435,Aqua,MODIS,63,6.0NRT,284.9,9.2,D
-37.448,143.29,305.2,1.1,1,2020-07-01,0435,Aqua,MODIS,61,6.0NRT,284.8,9.2,D
-36.517,143.876,305.6,1.1,1.1,2020-07-01,0435,Aqua,MODIS,62,6.0NRT,288.4,8.7,D
-36.515,143.87,306.3,1.1,1.1,2020-07-01,0435,Aqua,MODIS,63,6.0NRT,288.5,9.6,D
-34.476,142.856,304.1,1.1,1,2020-07-01,0435,Aqua,MODIS,58,6.0NRT,293.5,4.2,D
-34.478,142.844,325.8,1.1,1,2020-07-01,0435,Aqua,MODIS,84,6.0NRT,294.2,25.1,D
-34.415,142.29,301.6,1,1,2020-07-06,0035,Terra,MODIS,48,6.0NRT,283.5,6,D
-38.207,146.795,308.6,1.8,1.3,2020-07-08,0440,Aqua,MODIS,67,6.0NRT,285.3,24.1,D
-37.749,142.859,305.9,1.1,1.1,2020-07-08,0440,Aqua,MODIS,36,6.0NRT,283.3,10.4,D
-34.115,141.028,304.1,1.1,1,2020-07-08,0440,Aqua,MODIS,0,6.0NRT,281.6,7.1,D
-38.377,146.789,314.3,1.9,1.4,2020-07-09,0345,Aqua,MODIS,75,6.0NRT,286.2,38.9,D
-35.518,143.709,303.1,2.8,1.6,2020-07-09,0345,Aqua,MODIS,39,6.0NRT,290.6,24,D
-34.044,140.985,314.1,1,1,2020-07-10,0430,Aqua,MODIS,72,6.0NRT,295.9,10.4,D
-37.344,141.169,320.4,1.1,1,2020-07-15,0030,Terra,MODIS,80,6.0NRT,281.4,23.4,D
-34.417,142.284,301.4,1.4,1.2,2020-07-15,0445,Aqua,MODIS,45,6.0NRT,291,5.5,D
-37.58,141.243,300.3,1,1,2020-07-17,0435,Aqua,MODIS,35,6.0NRT,286.5,5.4,D
-37.264,142.385,308.6,1,1,2020-07-17,0435,Aqua,MODIS,67,6.0NRT,285.4,10.7,D
-37.265,142.373,314.5,1,1,2020-07-17,0435,Aqua,MODIS,75,6.0NRT,285.6,15.4,D
-35.221,142.521,309.2,1.1,1,2020-07-17,0435,Aqua,MODIS,68,6.0NRT,292,8.9,D
-34.273,142.334,320,1,1,2020-07-19,0420,Aqua,MODIS,75,6.0NRT,290.4,17.9,D
-34.275,142.323,328.1,1,1,2020-07-19,0420,Aqua,MODIS,74,6.0NRT,285.1,27.4,D
-34.297,142.317,303,1.4,1.2,2020-07-21,0410,Aqua,MODIS,54,6.0NRT,277.9,11.5,D
-37.338,141.16,306,1,1,2020-07-22,0035,Terra,MODIS,63,6.0NRT,278,9.8,D
-34.481,143.208,305.4,2,1.4,2020-07-22,0450,Aqua,MODIS,61,6.0NRT,290,17.4,D
-34.481,143.204,307.1,2,1.4,2020-07-22,0450,Aqua,MODIS,65,6.0NRT,290.3,21.6,D
-34.487,143.229,301.3,1.8,1.3,2020-07-23,0355,Aqua,MODIS,34,6.0NRT,290.7,7.5,D
-34.489,143.209,344.3,1.8,1.3,2020-07-23,0355,Aqua,MODIS,94,6.0NRT,293.8,122.5,D
-36.816,141.903,303.1,1,1,2020-07-23,1320,Terra,MODIS,53,6.0NRT,274.1,10.6,N
-37.194,141.181,315.2,1,1,2020-07-24,0440,Aqua,MODIS,76,6.0NRT,287,14.6,D
-37.196,141.17,329.9,1,1,2020-07-24,0440,Aqua,MODIS,87,6.0NRT,287.4,30.8,D
-37.189,141.174,333.9,1,1,2020-07-24,0440,Aqua,MODIS,89,6.0NRT,288.8,36.5,D
-37.181,141.161,337.2,1,1,2020-07-24,0440,Aqua,MODIS,90,6.0NRT,286.5,42.5,D
-37.183,141.149,314.3,1,1,2020-07-24,0440,Aqua,MODIS,75,6.0NRT,285.6,14.7,D
-36.966,141.453,300.3,1.1,1,2020-07-24,0440,Aqua,MODIS,34,6.0NRT,284.9,5.4,D
-36.962,141.446,301.8,1.1,1,2020-07-24,0440,Aqua,MODIS,49,6.0NRT,285.3,6.7,D
-36.611,143.277,308.4,1,1,2020-07-26,0425,Aqua,MODIS,67,6.0NRT,289.1,8.8,D
-35.816,144.017,305,1,1,2020-07-26,0425,Aqua,MODIS,60,6.0NRT,291.3,6.5,D
-34.502,142.845,303.9,1,1,2020-07-26,0430,Aqua,MODIS,50,6.0NRT,292.8,4.3,D
-34.504,142.834,303.8,1,1,2020-07-26,0430,Aqua,MODIS,43,6.0NRT,293.5,4,D
-38.061,142.063,304,1.5,1.2,2020-07-27,0055,Terra,MODIS,58,6.0NRT,281.8,14.8,D
-37.834,144.789,302.4,1,1,2020-07-28,0415,Aqua,MODIS,39,6.0NRT,288.9,4.6,D
-37.834,144.79,303,1.3,1.1,2020-07-30,0400,Aqua,MODIS,44,6.0NRT,289.4,6.3,D
-37.839,144.786,304.1,1.3,1.1,2020-07-30,0400,Aqua,MODIS,46,6.0NRT,289.7,7.1,D
-37.32,143.922,308.8,1.5,1.2,2020-07-30,0400,Aqua,MODIS,64,6.0NRT,284.7,17.6,D
-36.121,140.973,301.5,1.1,1,2020-07-31,0030,Terra,MODIS,47,6.0NRT,283.8,7.1,D
-36.965,141.451,300.8,1,1,2020-07-31,0030,Terra,MODIS,42,6.0NRT,283.8,6.8,D
-38.187,144.505,312,1.6,1.2,2020-07-31,0445,Aqua,MODIS,72,6.0NRT,280.8,26.3,D
-38.151,144.091,302.5,1.5,1.2,2020-07-31,0445,Aqua,MODIS,52,6.0NRT,280.8,14,D
-37.442,143.274,310.1,2.5,1.5,2020-08-01,0350,Aqua,MODIS,69,6.0NRT,288.2,38.2,D
-37.403,142.355,324.3,2.8,1.6,2020-08-01,0350,Aqua,MODIS,83,6.0NRT,288.8,104.4,D
-37.402,142.348,316.1,2.8,1.6,2020-08-01,0350,Aqua,MODIS,76,6.0NRT,288.3,68.4,D
-37.675,142.682,312.8,1,1,2020-08-02,0435,Aqua,MODIS,63,6.0NRT,282.4,12.7,D
-37.459,143.282,304,1.1,1,2020-08-02,0435,Aqua,MODIS,40,6.0NRT,286.8,6.8,D
-37.449,143.28,313.7,1.1,1,2020-08-02,0435,Aqua,MODIS,74,6.0NRT,288.9,14.7,D
-34.624,143.367,311.8,1,1,2020-08-04,0420,Aqua,MODIS,72,6.0NRT,293,8.7,D
